Model,Target Sel.,SER - IE test,ASR - LS test,ASV - LS test,Comments
Original speech,,71,1.8,,
B3,GAN,37,4.3,27.9,Naive STT-TTS with random F0 and energy modification
B4,Random,43,5.9,30.3,The source features are computed from the audio instead of text
B5,farthest avg.,38,4.4,34.3,
kNN-VC,Random,50,2.9,10.4,
Private kNN-VC (10-8),Random,35,7.3,29.4,
Private kNN-VC (0-0),Random,46,2.9,12.6,
Private kNN-VC (3-0),Random,45,3.1,16.6,
Private kNN-VC (7-0),Random,43,4,18.4,
Private kNN-VC (10-0),Random,41,5.3,20.3,
Private kNN-VC (0-32),Random,42,3.7,17.8,
Private kNN-VC (0-16),Random,41,4.1,19.6,
Private kNN-VC (0-8),Random,39,4.8,18.3,
Private kNN-VC (0-4),Random,39,6.1,21.2,
Private kNN-VC (0-2),Random,35,8.5,23.5,
Private kNN-VC (10-32),Random,40,5.7,26,
Private kNN-VC (10-4),Random,34,8.5,32.1,
Private kNN-VC (7-32),Random,41,4.6,22.3,
Private kNN-VC (7-16),Random,39,5,23.6,
Private kNN-VC (7-8),Random,37,5.7,26.6,
Private kNN-VC (3-8),Random,38,4.8,19.2,
Private kNN-VC (3-16),Random,40,4.3,19.1,
Private kNN-VC (3-32),Random,42,3.8,20,
Private kNN-VC (10-4),Same-gender,31,8.5,49.7,
Private kNN-VC (10-4),Cross-gender,34,8.5,49.4,
Private kNN-VC (7-8),Same-gender,39,5.7,48.5,
Private kNN-VC (7-8),Cross-gender,37,5.9,48.8,
Private kNN-VC (7-32),Same-gender,40,4.6,49.4,
Private kNN-VC (7-32),Cross-gender,38,4.6,48.8,
Private kNN-VC (3-8),Same-gender,40,4.7,49,
Private kNN-VC (3-8),Cross-gender,38,4.7,49.4,
Private kNN-VC (3-16),Same-gender,42,4,49.9,
Private kNN-VC (3-16),Cross-gender,40,4.2,49,
Private kNN-VC (3-32),Same-gender,44,3.8,24.7,
Private kNN-VC (3-32),Cross-gender,40,3.8,25.5,
Private kNN-VC (7-16),Same-gender,41,5,48.7,
Private kNN-VC (7-16),Cross-gender,38,5,49.4,
Private kNN-VC (0-0),Same-gender,47,2.9,16.1,
Private kNN-VC (0-0),Cross-gender,45,3,15,
Private kNN-VC (0-8),Same-gender,41,4.7,49.6,
Private kNN-VC (0-8),Cross-gender,38,4.7,49.3,
Private kNN-VC (0-16),Same-gender,42,4,25,
Private kNN-VC (0-16),Cross-gender,40,4.2,47.5,
Private kNN-VC (0-32),Same-gender,44,3.5,22.5,
Private kNN-VC (0-32),Cross-gender,42,3.8,23.4,
Private kNN-VC (3-0),Same-gender,46,3,15,
Private kNN-VC (3-0),Cross-gender,43,3.2,15.2,
Private kNN-VC (7-0),Same-gender,45,3.8,22.2,
Private kNN-VC (7-0),Cross-gender,42,4.1,20.3,
Private kNN-VC (10-0),Same-gender,40,5,22.5,
Private kNN-VC (10-0),Cross-gender,40,5.2,22.8,
Private kNN-VC (0-8),Same-gender-misgendered,40,4.7,48.4,
Private kNN-VC (0-8),Cross-gender-misgendered,40,4.8,49.4,
Private kNN-VC (7-8),Same-gender-1target,34,7,21.7,
Private kNN-VC (7-8),Cross-gender-1target,32,5.7,22.6,
Private kNN-VC (7-8),Random-2targets,33,6.5,18,
